"A1"	"A2"	"A3"	"A4"	"B1"	"B2"	"B3"	"B4"
"'Thalassorhabdus' Choi et al. 2018"	0	0.0924214417744917	0	0	0.0800640512409928	0	0	0
"Abyssalbus"	0	0	0.174520069808028	0	0	0.0630517023959647	0	0
"Abyssibacter"	0	0.184842883548983	0	0.1669449081803	0	0	0	0
"Abyssivirga"	0	0	0	0	0.320256204963971	0.189155107187894	0.431965442764579	0.212314225053079
"Acetivibrio"	0.154320987654321	0.184842883548983	0.261780104712042	0.1669449081803	0.0800640512409928	0.0630517023959647	0	0
"Acetoanaerobium"	0	0	0	0	0.0800640512409928	0	0	0.283085633404105
"Acidihalobacter"	2.31481481481481	2.40295748613678	2.70506108202443	3.17195325542571	0.880704563650921	1.70239596469105	1.07991360691145	0.990799716914367
"Acidiluteibacter"	0	0	0.087260034904014	0	0	0	0	0
"Acidimangrovimonas"	0	0	0	0	0	0	0	0.0707714083510262
"Acidithrix"	0	0.184842883548983	0	0	0	0	0	0
"Acinetobacter"	0.308641975308642	0	0.087260034904014	0.333889816360601	0	0.0630517023959647	0.215982721382289	0.283085633404105
"Actibacter"	0.462962962962963	0.462107208872458	0.785340314136126	0.1669449081803	0.320256204963971	0.126103404791929	0.215982721382289	0.0707714083510262
"Actibacterium"	0.154320987654321	0.0924214417744917	0	0	0	0	0	0
"Actinomarinicola"	0.462962962962963	0.831792975970425	0.785340314136126	0.667779632721202	0	0.0630517023959647	0	0.141542816702052
"Actirhodobacter"	0	0.0924214417744917	0.087260034904014	0	0	0	0.215982721382289	0.0707714083510262
"Adhaeretor"	0.154320987654321	0	0	0	0	0	0	0
"Adhaeribacter"	0.154320987654321	0	0	0	0	0	0	0.0707714083510262
"Aeoliella"	0	0	0.174520069808028	0.1669449081803	0	0	0	0
"Aequoribacter"	0.154320987654321	0.0924214417744917	0	0	0	0	0	0
"Aestuariibaculum"	0	0	0.087260034904014	0.1669449081803	0	0	0	0
"Aestuariimonas"	0	0.0924214417744917	0	0	0	0	0	0
"Aestuariirhabdus"	0	0	0	0.1669449081803	0.0800640512409928	0	0	0
"Afifella"	0.308641975308642	0	0	0	0.0800640512409928	0	0	0
"Aggregatilinea"	0	0.0924214417744917	0.174520069808028	0.1669449081803	0.160128102481986	0.0630517023959647	0.107991360691145	0.0707714083510262
"Alcaligenes"	0	0	0	0	0	0	0	0.0707714083510262
"Alcanivorax"	0.154320987654321	0	0	0	0.0800640512409928	0	0	0.141542816702052
"Algibacter"	0	0	0.349040139616056	0	0	0	0	0
"Algicella"	0	0	0	0	0.0800640512409928	0.0630517023959647	0.107991360691145	0
"Algihabitans"	0	0	0.174520069808028	0	0.56044835868695	0.0630517023959647	0.323974082073434	0.283085633404105
"Algiphilus"	0	0	0.087260034904014	0	0	0	0	0
"Aliarcobacter"	0	0.277264325323475	0.349040139616056	3.33889816360601	0.160128102481986	1.70239596469105	0.107991360691145	6.01556970983723
"Aliikangiella"	0	0	0.087260034904014	0	0	0	0	0
"Aliiroseovarius"	0.154320987654321	0.0924214417744917	0	0	0	0	0	0
"Aliiruegeria"	0	0.0924214417744917	0.087260034904014	0.1669449081803	0.0800640512409928	0	0	0
"Alkalibacter"	0	0.0924214417744917	0	0	0.0800640512409928	0	0	0
"Alkalicoccobacillus"	0	0	0	0	0.0800640512409928	0	0	0
"Alkalihalobacillus"	0	0	0	0.1669449081803	0	0	0	0
"Alkaliphilus"	0.308641975308642	0	0	0	0.0800640512409928	0.0630517023959647	0	0.0707714083510262
"Alkalispirochaeta"	0	0.0924214417744917	0.087260034904014	0	0.0800640512409928	0	0	0.0707714083510262
"Alloalcanivorax"	0	0	0	0.1669449081803	0	0	0	0
"Allomuricauda"	0	0	0.087260034904014	0	0.0800640512409928	0	0	0
"Alsobacter"	0	0	0	0.1669449081803	0	0	0	0
"Alteraurantiacibacter"	0	0	3.83944153577661	0.834724540901502	0.240192153722978	0	0.215982721382289	0
"Altererythrobacter"	0.462962962962963	0.369685767097967	0.261780104712042	0.1669449081803	0.160128102481986	0.0630517023959647	0.107991360691145	0
"Altericroceibacterium"	0	0	0	0	0	0	0.107991360691145	0
"Alteromonas"	0	0	0.785340314136126	0	0.0800640512409928	0.126103404791929	0.107991360691145	0
"Amaricoccus"	0	0	0	0	0.0800640512409928	0.0630517023959647	0	0
"Aminipila"	0.154320987654321	0	0	0	0	0	0	0
"Amnimonas"	0	0.0924214417744917	0.087260034904014	0	0	0	0	0
"Amylibacter"	0	0.0924214417744917	0	0	0.0800640512409928	0	0	0
"Anaerohalosphaera"	0.154320987654321	0	0.174520069808028	0.1669449081803	0.320256204963971	0.756620428751576	0.107991360691145	0.212314225053079
"Anaeromonas"	0.154320987654321	0	0	0	0.0800640512409928	0	0	0
"Anaerosolibacter"	0.154320987654321	0.184842883548983	0.174520069808028	0	0	0	0	0
"Anagnostidinema"	0	0.739371534195933	0	0	0	0	0	0
"Ancylomarina"	0	0	0.349040139616056	0	0.0800640512409928	0	0	0
"Annamia"	0.154320987654321	0.0924214417744917	0	0	0	0	0	0
"Aquibium"	0	0	0	0	0	0	0	0.0707714083510262
"Aquicoccus"	0	0.184842883548983	0.087260034904014	0	0.0800640512409928	0.0630517023959647	0.107991360691145	0.141542816702052
"Aquipluma"	0.154320987654321	0.0924214417744917	0.261780104712042	0.1669449081803	0.320256204963971	0.315258511979823	0	0
"Arboricoccus"	0.154320987654321	0.0924214417744917	0.174520069808028	0.500834724540901	0.0800640512409928	0.126103404791929	0.215982721382289	0.424628450106157
"Arcobacter"	0	0	0	0.1669449081803	0	0.252206809583859	0	0.495399858457183
"Arcticibacterium"	0	0	0.261780104712042	0	0	0	0	0
"Arenibacterium"	0	0	0.261780104712042	0.1669449081803	0.0800640512409928	0	0	0
"Arenibaculum"	0	0.0924214417744917	0	0	0	0	0	0
"Arenimicrobium"	0	0	0.087260034904014	0	0	0	0	0
"Arenimonas"	0	0.0924214417744917	0	0	0.0800640512409928	0	0	0
"Aridibacter"	0.154320987654321	0.184842883548983	1.30890052356021	1.1686143572621	0	0.126103404791929	0	0.0707714083510262
"Aromatoleum"	0	0.0924214417744917	0	0	0	0.126103404791929	0	0.0707714083510262
"Aurantiacibacter"	0	0	0.43630017452007	0	0.0800640512409928	0	0.107991360691145	0.141542816702052
"Aurantibacter"	0	0.0924214417744917	0.087260034904014	0	0	0	0	0
"Aureibaculum"	0	0.0924214417744917	0.174520069808028	0	0	0	0	0
"Aureliella"	0	0	0	0.1669449081803	0	0	0	0
"Azospirillum"	0	0	0	0	0	0	0.107991360691145	0
"Bacillus"	0.617283950617284	1.29390018484288	2.26876090750436	1.3355592654424	0.160128102481986	0.126103404791929	0	1.20311394196745
"Balneicella"	0	0	0.087260034904014	0	0.0800640512409928	0	0	0
"Bartonella"	0.617283950617284	0	0	0.333889816360601	0.240192153722978	0.126103404791929	0.647948164146868	0.0707714083510262
"Blastopirellula"	0	0	0	0	0.0800640512409928	0	0	0
"Botrimarina"	0.462962962962963	0.184842883548983	0	0.1669449081803	0	0.0630517023959647	0	0
"Bremerella"	0.154320987654321	0.369685767097967	0.087260034904014	0.500834724540901	0	0.0630517023959647	0.107991360691145	0.0707714083510262
"Breznakibacter"	0	0.277264325323475	0	0	0.0800640512409928	0	0	0.0707714083510262
"Brucella"	0.154320987654321	0	0	0	0	0	0.107991360691145	0
"Brumimicrobium"	0.154320987654321	0	0	0	0.0800640512409928	0.0630517023959647	0	0
"Butyratibacter"	0.154320987654321	0.0924214417744917	0.087260034904014	0.333889816360601	0	0	0	0.0707714083510262
"Bythopirellula"	0.154320987654321	0.277264325323475	0.174520069808028	0.333889816360601	0	0.0630517023959647	0	0
"Caenispirillum"	0	0	0	0.1669449081803	0	0	0.107991360691145	0.0707714083510262
"Calculibacillus"	0	0	0	0.500834724540901	0	0.0630517023959647	0	0
"Calidifontibacillus"	1.54320987654321	0.55452865064695	2.79232111692845	1.1686143572621	0.320256204963971	0.252206809583859	0.431965442764579	3.11394196744515
"Calorithrix"	0.154320987654321	0	0	0	0	0.0630517023959647	0.107991360691145	0.141542816702052
"Campylobacter"	0	0	0	0	0	0	0	0.0707714083510262
"Carboxylicivirga"	0.154320987654321	0	0	0	0.480384307445957	0.126103404791929	0	0.141542816702052
"Celeribacter"	0	0	0.087260034904014	0	0	0	0	0
"Cellvibrio"	0	0	0.087260034904014	0	0	0	0	0
"Chelativorans"	0.154320987654321	0	0.087260034904014	0.1669449081803	0	0	0	0.0707714083510262
"Chelatococcus"	0.154320987654321	0	0	0.1669449081803	0.0800640512409928	0	0	0.0707714083510262
"Chondromyces"	0.771604938271605	0.739371534195933	0.261780104712042	0.500834724540901	0.160128102481986	0.126103404791929	0.107991360691145	0.0707714083510262
"Christiangramia"	0	0.184842883548983	0.087260034904014	0	0	0.189155107187894	0.107991360691145	0.0707714083510262
"Citrifermentans"	0	0	0.087260034904014	0	0	0	0	0.0707714083510262
"Clostridium"	0	0.184842883548983	0.174520069808028	0	0.0800640512409928	0.0630517023959647	0	0
"Cognatazoarcus"	0	0.277264325323475	0	0	0	0.0630517023959647	0	0
"Cohnella"	0.154320987654321	0	0	0	0	0	0	0
"Collibacillus"	0	0	0.087260034904014	0	0	0	0	0.0707714083510262
"Comamonas"	0.154320987654321	0.0924214417744917	0	0	0	0.0630517023959647	0.215982721382289	0.353857041755131
"Compactococcus"	0	0.0924214417744917	0	0	0	0	0	0
"Conexibacter"	0	0	0	0	0	0	0	0.0707714083510262
"Coraliihabitans"	0	0	0	0	0	0	0	0.141542816702052
"Coraliitalea"	0	0	0.087260034904014	0	0	0	0	0
"Coraliomargarita"	0.308641975308642	0.0924214417744917	0	0	0.0800640512409928	0.126103404791929	0.107991360691145	0.0707714083510262
"Crassaminicella"	0	0.0924214417744917	0.261780104712042	0	0	0	0	0.0707714083510262
"Cribrihabitans"	0.154320987654321	0	0	0	0	0	0	0
"Croceibacterium"	0	0	0.087260034904014	0	0	0	0.107991360691145	0
"Croceicoccus"	0.462962962962963	0	0	0.333889816360601	0	0.189155107187894	0	0
"Croceimicrobium"	0	0.0924214417744917	0	0	0	0.0630517023959647	0.107991360691145	0
"Cyanomargarita"	0	0	0.174520069808028	0	0	0	0	0
"Cyanothece"	0.771604938271605	3.60443622920518	0.43630017452007	0.1669449081803	0	0	0	0
"Cytobacillus"	0	0.184842883548983	0	0	0	0	0	0
"Daejeonella"	0	0	0	0	0	0	0.107991360691145	0
"Deferrisoma"	0	0	0	0.1669449081803	0	0.0630517023959647	0	0.0707714083510262
"Dehalobacterium"	0	0.0924214417744917	0.087260034904014	0	0	0.126103404791929	0.215982721382289	0
"Dehalogenimonas"	0	0	0	0	0	0.0630517023959647	0	0
"Deinococcus"	0	0	0	0	0	0	0	0.0707714083510262
"Delftia"	0.308641975308642	0.0924214417744917	0.087260034904014	0	0	0	0	0.283085633404105
"Denitrificimonas"	0.154320987654321	0	0	0	0	0.882723833543506	0	0
"Denitrobaculum"	0	0	0.087260034904014	0	0.0800640512409928	0.0630517023959647	0	0
"Dermatobacter"	0	0	0	0	0.0800640512409928	0	0	0
"Deserticella"	0	0.0924214417744917	0	0	0	0	0	0
"Desertimonas"	0	0.646950092421442	0.43630017452007	0.1669449081803	0	0.126103404791929	0	0.0707714083510262
"Desulfobulbus"	0.308641975308642	0.277264325323475	0.43630017452007	0.834724540901502	0.880704563650921	1.26103404791929	1.18790496760259	0.920028308563341
"Desulfocastanea"	0.462962962962963	0	0.698080279232112	0.1669449081803	0.480384307445957	0.315258511979823	0.755939524838013	0.283085633404105
"Desulfocicer"	0	0.0924214417744917	0	0	0.0800640512409928	0.0630517023959647	0	0
"Desulfoferrobacter"	0.462962962962963	0.184842883548983	1.39616055846422	1.669449081803	0.640512409927942	0.189155107187894	0.215982721382289	0.353857041755131
"Desulfogranum"	0.771604938271605	0.277264325323475	0.174520069808028	0.1669449081803	0.640512409927942	0.315258511979823	0.647948164146868	0.283085633404105
"Desulfolithobacter"	1.85185185185185	1.66358595194085	1.2216404886562	1.5025041736227	7.36589271417134	3.46784363177806	4.53563714902808	5.30785562632696
"Desulfolucanica"	0.154320987654321	0	0	0	0	0	0	0
"Desulfomarina"	2.00617283950617	1.47874306839187	1.48342059336824	0.667779632721202	0.640512409927942	0.252206809583859	2.05183585313175	0.424628450106157
"Desulfomicrobium"	0	0	0	0	0	0.126103404791929	0	0
"Desulfonatronum"	0	0	0.087260034904014	0	0	0	0	0
"Desulfoprunum"	0	0.462107208872458	1.04712041884817	0.1669449081803	0.880704563650921	0.630517023959647	0.971922246220302	0.283085633404105
"Desulfosarcina"	8.02469135802469	3.60443622920518	5.93368237347295	4.67445742904841	6.40512409927942	3.59394703656999	4.64362850971922	4.6001415428167
"Desulfosediminicola"	0.154320987654321	0.369685767097967	0.349040139616056	0	0.480384307445957	0.252206809583859	0.215982721382289	0.141542816702052
"Desulfosporosinus"	0	0.0924214417744917	0	0	0	0	0	0.0707714083510262
"Desulfosudis"	0.308641975308642	0.369685767097967	0.523560209424084	0.500834724540901	0.400320256204964	0.315258511979823	1.18790496760259	0.636942675159236
"Desulfovibrio"	0	0	0	0	0	0	0	0.0707714083510262
"Desulfovulcanus"	0	0	0	0.1669449081803	0	0	0	0
"Desulfuromonas"	0.462962962962963	0	0.087260034904014	1.0016694490818	0.640512409927942	0.252206809583859	0.863930885529158	0.283085633404105
"Dethiosulfatarculus"	0	0	0	0	0.0800640512409928	0	0	0
"Devosia"	0.154320987654321	0.0924214417744917	0.087260034904014	0.333889816360601	0	0.0630517023959647	0	0
"Diplocloster"	0	0	0	0	0.0800640512409928	0	0	0
"Dissulfurimicrobium"	0.308641975308642	0	0	0	0	0	0	0
"Dissulfurirhabdus"	0	0.0924214417744917	0	0	0.0800640512409928	0	0	0
"Dokdonia"	0.154320987654321	0.0924214417744917	0	0	0	0	0	0
"Draconibacterium"	0	0.277264325323475	0.349040139616056	0.333889816360601	1.04083266613291	1.45018915510719	0.647948164146868	0.707714083510262
"Dyadobacter"	0	0	0.087260034904014	0	0	0	0.107991360691145	0
"Edaphobacter"	0.154320987654321	0	0.087260034904014	0	0	0	0	0
"Edaphocola"	0	0	0	0	0.0800640512409928	0	0	0
"Endothiovibrio"	1.23456790123457	1.29390018484288	1.74520069808028	0.834724540901502	2.16172938350681	0.882723833543506	1.83585313174946	1.69851380042463
"Ensifer"	0.462962962962963	0.184842883548983	0.261780104712042	0.1669449081803	0.0800640512409928	0	0	0.141542816702052
"Entomomonas"	0	0	0	0	0.0800640512409928	0	0.107991360691145	0
"Ereboglobus"	0	0	0	0.1669449081803	0	0	0	0
"Erysipelothrix"	0	0	0	0	0	0	0	0.0707714083510262
"Erythrobacter"	0.154320987654321	0.184842883548983	0.261780104712042	0	0.0800640512409928	0	0	0.0707714083510262
"Eubacterium"	0	0	0	0.1669449081803	0	0	0	0.141542816702052
"Euzebya"	0	0.0924214417744917	0	0	0	0	0	0
"Exiguobacterium"	0.308641975308642	0.739371534195933	0.087260034904014	0.1669449081803	0	0	0	0.0707714083510262
"Exilibacterium"	0	0.184842883548983	0	0	0	0	0	0
"Falsibacillus"	0	0	0	0	0	0	0.107991360691145	0
"Falsiroseomonas"	0	0	0	0	0	0	0	0.0707714083510262
"Fermentimonas"	0	0	0	0	0.0800640512409928	0	0	0
"Ferruginivarius"	0.154320987654321	0	0.523560209424084	0.834724540901502	0.640512409927942	0.189155107187894	0.431965442764579	0.283085633404105
"Fertoeibacter"	0	0	0.087260034904014	0	0	0	0	0
"Fictibacillus"	0	0.0924214417744917	0	0	0	0	0	0
"Flavilitoribacter"	2.00617283950617	4.15896487985213	0.87260034904014	1.1686143572621	0.720576461168935	1.45018915510719	0.647948164146868	0.353857041755131
"Flavimaribacter"	0.308641975308642	0.0924214417744917	0.087260034904014	0	0.0800640512409928	0	0.215982721382289	0
"Flavisolibacter"	0	0.184842883548983	0	0	0	0	0	0
"Flavivirga"	0	0	0.087260034904014	0	0	0	0	0
"Flavobacterium"	0.308641975308642	0.0924214417744917	0.087260034904014	0	0	0	0.107991360691145	0
"Flexilinea"	0	0	0.087260034904014	0	0	0	0	0
"Fluviicola"	0.154320987654321	0.0924214417744917	0	0	0	0	0	0
"Fodinibius"	0.154320987654321	0	0.087260034904014	0	0	0	0	0
