Category	Subsystem	Role	Contig	Start	Stop
Carbohydrates	Alpha-acetolactate operon	Transcriptional regulator of alpha-acetolactate operon AlsR	NZ_JBBJSP010000001.1	529123	528215
Carbohydrates	Alpha-acetolactate operon	Acetolactate synthase, catabolic (EC 2.2.1.6)	NZ_JBBJSP010000001.1	529278	530993
Carbohydrates	Alpha-acetolactate operon	Alpha-acetolactate decarboxylase (EC 4.1.1.5)	NZ_JBBJSP010000001.1	531055	531822
Carbohydrates	Propionate-CoA to Succinate Module	Methylisocitrate lyase (EC 4.1.3.30)	NZ_JBBJSP010000002.1	373816	372911
Carbohydrates	Propionate-CoA to Succinate Module	Aconitate hydratase (EC 4.2.1.3)	NZ_JBBJSP010000003.1	987270	989999
Carbohydrates	Propionate-CoA to Succinate Module	2-methylcitrate dehydratase (EC 4.2.1.79)	NZ_JBBJSP010000002.1	375251	373833
Carbohydrates	Propionate-CoA to Succinate Module	2-methylisocitrate dehydratase (EC 4.2.1.99)	NZ_JBBJSP010000003.1	987270	989999
Carbohydrates	Propionate-CoA to Succinate Module	2-methylcitrate synthase (EC 2.3.3.5)	NZ_JBBJSP010000002.1	376384	375266
Carbohydrates	Methylcitrate cycle	2-methylcitrate dehydratase (EC 4.2.1.79)	NZ_JBBJSP010000002.1	375251	373833
Carbohydrates	Methylcitrate cycle	Methylisocitrate lyase (EC 4.1.3.30)	NZ_JBBJSP010000002.1	373816	372911
Carbohydrates	Methylcitrate cycle	2-methylcitrate synthase (EC 2.3.3.5)	NZ_JBBJSP010000002.1	376384	375266
Carbohydrates	Methylcitrate cycle	2-methylisocitrate dehydratase (EC 4.2.1.99)	NZ_JBBJSP010000003.1	987270	989999
Carbohydrates	Glycerate metabolism	Pyruvate kinase (EC 2.7.1.40)	NZ_JBBJSP010000002.1	867843	866086
Carbohydrates	Glycerate metabolism	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	NZ_JBBJSP010000003.1	518006	518872
Carbohydrates	Glycerate metabolism	Glycerate kinase (EC 2.7.1.31)	NZ_JBBJSP010000001.1	113910	115058
Carbohydrates	Glycerate metabolism	Hydroxypyruvate reductase (EC 1.1.1.81)	NZ_JBBJSP010000001.1	681537	680563
Carbohydrates	Pyruvate Alanine Serine Interconversions	L-serine dehydratase, beta subunit (EC 4.3.1.17)	NZ_JBBJSP010000003.1	708765	709427
Carbohydrates	Pyruvate Alanine Serine Interconversions	Alanine dehydrogenase (EC 1.4.1.1)	NZ_JBBJSP010000001.1	967476	966340
Carbohydrates	Pyruvate Alanine Serine Interconversions	L-alanine:glyoxylate aminotransferase (EC 2.6.1.44)	NZ_JBBJSP010000001.1	903189	904439
Carbohydrates	Pyruvate Alanine Serine Interconversions	D-alanine aminotransferase (EC 2.6.1.21)	NZ_JBBJSP010000003.1	90636	91484
Carbohydrates	Pyruvate Alanine Serine Interconversions	L-serine dehydratase, alpha subunit (EC 4.3.1.17)	NZ_JBBJSP010000003.1	709453	710355
Carbohydrates	Pyruvate Alanine Serine Interconversions	Alanine racemase (EC 5.1.1.1)	NZ_JBBJSP010000003.1	958849	957665
Carbohydrates	Pyruvate Alanine Serine Interconversions	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	NZ_JBBJSP010000001.1	269304	268213
Carbohydrates	Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	NAD-independent protein deacetylase AcuC	NZ_JBBJSP010000002.1	922700	923863
Carbohydrates	Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	Aldehyde dehydrogenase (EC 1.2.1.3)	NZ_JBBJSP010000001.1	126723	125386
Carbohydrates	Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	Phosphate acetyltransferase (EC 2.3.1.8)	NZ_JBBJSP010000001.1	361231	362202
Carbohydrates	Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4)	NZ_JBBJSP010000003.1	582427	583839
Carbohydrates	Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	Acetyltransferase AcuA, acetyl-CoA synthetase inhibitor	NZ_JBBJSP010000002.1	921400	922032
Carbohydrates	Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	NAD-dependent protein deacetylase of SIR2 family	NZ_JBBJSP010000003.1	88736	89479
Carbohydrates	Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	Acetate kinase (EC 2.7.2.1)	NZ_JBBJSP010000002.1	897597	896410
Carbohydrates	Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	Pyruvate dehydrogenase E1 component alpha subunit (EC 1.2.4.1)	NZ_JBBJSP010000003.1	578884	579999
Carbohydrates	Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	Pyruvate dehydrogenase E1 component beta subunit (EC 1.2.4.1)	NZ_JBBJSP010000003.1	580003	580980
Carbohydrates	Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	NZ_JBBJSP010000003.1	581094	582422
Carbohydrates	Methylglyoxal Metabolism	Aldehyde dehydrogenase (EC 1.2.1.3)	NZ_JBBJSP010000001.1	126723	125386
