Category	Subcategory	Subsystem	Role	Features
Carbohydrates	Organic acids	Alpha-acetolactate operon	Transcriptional regulator of alpha-acetolactate operon AlsR	fig|1423.3417.peg.546
Carbohydrates	Organic acids	Alpha-acetolactate operon	Acetolactate synthase, catabolic (EC 2.2.1.6)	fig|1423.3417.peg.547
Carbohydrates	Organic acids	Alpha-acetolactate operon	Alpha-acetolactate decarboxylase (EC 4.1.1.5)	fig|1423.3417.peg.548
Carbohydrates	Organic acids	Propionate-CoA to Succinate Module	Methylisocitrate lyase (EC 4.1.3.30)	fig|1423.3417.peg.1515
Carbohydrates	Organic acids	Propionate-CoA to Succinate Module	Aconitate hydratase (EC 4.2.1.3)	fig|1423.3417.peg.3279
Carbohydrates	Organic acids	Propionate-CoA to Succinate Module	2-methylcitrate dehydratase (EC 4.2.1.79)	fig|1423.3417.peg.1516
Carbohydrates	Organic acids	Propionate-CoA to Succinate Module	2-methylisocitrate dehydratase (EC 4.2.1.99)	fig|1423.3417.peg.3279
Carbohydrates	Organic acids	Propionate-CoA to Succinate Module	2-methylcitrate synthase (EC 2.3.3.5)	fig|1423.3417.peg.1517
Carbohydrates	Organic acids	Methylcitrate cycle	2-methylcitrate dehydratase (EC 4.2.1.79)	fig|1423.3417.peg.1516
Carbohydrates	Organic acids	Methylcitrate cycle	Methylisocitrate lyase (EC 4.1.3.30)	fig|1423.3417.peg.1515
Carbohydrates	Organic acids	Methylcitrate cycle	2-methylcitrate synthase (EC 2.3.3.5)	fig|1423.3417.peg.1517
Carbohydrates	Organic acids	Methylcitrate cycle	2-methylisocitrate dehydratase (EC 4.2.1.99)	fig|1423.3417.peg.3279
Carbohydrates	Organic acids	Glycerate metabolism	Pyruvate kinase (EC 2.7.1.40)	fig|1423.3417.peg.2075
Carbohydrates	Organic acids	Glycerate metabolism	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	fig|1423.3417.peg.2832
Carbohydrates	Organic acids	Glycerate metabolism	Glycerate kinase (EC 2.7.1.31)	fig|1423.3417.peg.124
Carbohydrates	Organic acids	Glycerate metabolism	Hydroxypyruvate reductase (EC 1.1.1.81)	fig|1423.3417.peg.688, fig|1423.3417.peg.1103
Carbohydrates	Central carbohydrate metabolism	Pyruvate Alanine Serine Interconversions	L-serine dehydratase, beta subunit (EC 4.3.1.17)	fig|1423.3417.peg.3032
Carbohydrates	Central carbohydrate metabolism	Pyruvate Alanine Serine Interconversions	Alanine dehydrogenase (EC 1.4.1.1)	fig|1423.3417.peg.982
Carbohydrates	Central carbohydrate metabolism	Pyruvate Alanine Serine Interconversions	L-alanine:glyoxylate aminotransferase (EC 2.6.1.44)	fig|1423.3417.peg.919
Carbohydrates	Central carbohydrate metabolism	Pyruvate Alanine Serine Interconversions	D-alanine aminotransferase (EC 2.6.1.21)	fig|1423.3417.peg.2360
Carbohydrates	Central carbohydrate metabolism	Pyruvate Alanine Serine Interconversions	L-serine dehydratase, alpha subunit (EC 4.3.1.17)	fig|1423.3417.peg.3033
Carbohydrates	Central carbohydrate metabolism	Pyruvate Alanine Serine Interconversions	Alanine racemase (EC 5.1.1.1)	fig|1423.3417.peg.3234, fig|1423.3417.peg.3744
Carbohydrates	Central carbohydrate metabolism	Pyruvate Alanine Serine Interconversions	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	fig|1423.3417.peg.268, fig|1423.3417.peg.3989
Carbohydrates	Central carbohydrate metabolism	Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	NAD-independent protein deacetylase AcuC	fig|1423.3417.peg.2135
Carbohydrates	Central carbohydrate metabolism	Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	Aldehyde dehydrogenase (EC 1.2.1.3)	fig|1423.3417.peg.137, fig|1423.3417.peg.240, fig|1423.3417.peg.330, fig|1423.3417.peg.1197, fig|1423.3417.peg.3453
Carbohydrates	Central carbohydrate metabolism	Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	Phosphate acetyltransferase (EC 2.3.1.8)	fig|1423.3417.peg.362
Carbohydrates	Central carbohydrate metabolism	Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4)	fig|1423.3417.peg.2902
Carbohydrates	Central carbohydrate metabolism	Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	Acetyltransferase AcuA, acetyl-CoA synthetase inhibitor	fig|1423.3417.peg.2133
Carbohydrates	Central carbohydrate metabolism	Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	NAD-dependent protein deacetylase of SIR2 family	fig|1423.3417.peg.2358
Carbohydrates	Central carbohydrate metabolism	Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	Acetate kinase (EC 2.7.2.1)	fig|1423.3417.peg.2107
Carbohydrates	Central carbohydrate metabolism	Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	Pyruvate dehydrogenase E1 component alpha subunit (EC 1.2.4.1)	fig|1423.3417.peg.2899
Carbohydrates	Central carbohydrate metabolism	Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	Pyruvate dehydrogenase E1 component beta subunit (EC 1.2.4.1)	fig|1423.3417.peg.2900
Carbohydrates	Central carbohydrate metabolism	Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	fig|1423.3417.peg.2901
Carbohydrates	Central carbohydrate metabolism	Methylglyoxal Metabolism	Aldehyde dehydrogenase (EC 1.2.1.3)	fig|1423.3417.peg.137, fig|1423.3417.peg.240, fig|1423.3417.peg.330, fig|1423.3417.peg.1197, fig|1423.3417.peg.3453, fig|1423.3417.peg.137, fig|1423.3417.peg.240, fig|1423.3417.peg.330, fig|1423.3417.peg.1197, fig|1423.3417.peg.3453
Carbohydrates	Central carbohydrate metabolism	Methylglyoxal Metabolism	Methylglyoxal synthase (EC 4.2.3.3)	fig|1423.3417.peg.1339
Carbohydrates	Central carbohydrate metabolism	Glycolate, glyoxylate interconversions	Glyoxylate reductase (EC 1.1.1.79)	fig|1423.3417.peg.688
Carbohydrates	Central carbohydrate metabolism	Glycolate, glyoxylate interconversions	Glyoxylate reductase (EC 1.1.1.26)	fig|1423.3417.peg.688
Carbohydrates	Central carbohydrate metabolism	Glycolate, glyoxylate interconversions	Hydroxypyruvate reductase (EC 1.1.1.81)	fig|1423.3417.peg.688, fig|1423.3417.peg.1103
Carbohydrates	Central carbohydrate metabolism	Pyruvate metabolism I: anaplerotic reactions, PEP	Pyruvate kinase (EC 2.7.1.40)	fig|1423.3417.peg.2075
Carbohydrates	Central carbohydrate metabolism	Pyruvate metabolism I: anaplerotic reactions, PEP	NAD-dependent malic enzyme (EC 1.1.1.38)	fig|1423.3417.peg.428, fig|1423.3417.peg.2152
Carbohydrates	Central carbohydrate metabolism	Pyruvate metabolism I: anaplerotic reactions, PEP	Two-component sensor histidine kinase, malate (EC 2.7.3.-)	fig|1423.3417.peg.1021
