Category	Subsystem	Role	Contig	Start	Stop
Carbohydrates	Neotrehalosadiamine (NTD) Biosynthesis Operon	NTD biosynthesis operon regulator NtdR	JBBJSN010000010.1	47850	48839
Carbohydrates	Neotrehalosadiamine (NTD) Biosynthesis Operon	NTD biosynthesis operon putative oxidoreductase NtdC (EC 1.-.-.-)	JBBJSN010000010.1	45577	44531
Carbohydrates	Neotrehalosadiamine (NTD) Biosynthesis Operon	NTD biosynthesis operon putative hydrolase NtdB (EC 3.-.-.-)	JBBJSN010000010.1	46440	45574
Carbohydrates	Neotrehalosadiamine (NTD) Biosynthesis Operon	NTD biosynthesis operon protein NtdA	JBBJSN010000010.1	47740	46415
Carbohydrates	Chitin and N-acetylglucosamine utilization	N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	JBBJSN010000001.1	151758	152948
Carbohydrates	Chitin and N-acetylglucosamine utilization	Glucosamine-6-phosphate deaminase (EC 3.5.99.6)	JBBJSN010000001.1	152948	153673
Carbohydrates	Chitin and N-acetylglucosamine utilization	Predicted transcriptional regulator of N-Acetylglucosamine utilization, GntR family	JBBJSN010000001.1	153697	154422
Carbohydrates	L-Arabinose utilization	L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)	JBBJSN010000002.1	156224	156928
Carbohydrates	L-Arabinose utilization	L-arabinose isomerase (EC 5.3.1.4)	JBBJSN010000002.1	156946	158367
Carbohydrates	L-Arabinose utilization	Ribulokinase (EC 2.7.1.16)	JBBJSN010000002.1	154605	156230
Carbohydrates	L-Arabinose utilization	Arabinose-proton symporter	JBBJSN010000002.1	158449	159789
Carbohydrates	Xylose utilization	Xylose-responsive transcription regulator, ROK family	JBBJSN010000044.1	3977	5137
Carbohydrates	Xylose utilization	Xylose isomerase (EC 5.3.1.5)	JBBJSN010000044.1	3763	2426
Carbohydrates	Xylose utilization	Xylulose kinase (EC 2.7.1.17)	JBBJSN010000044.1	2390	891
Carbohydrates	Xylose utilization	Xyloside transporter XynT	JBBJSN010000044.1	8205	6814
Carbohydrates	D-ribose utilization	Ribose operon repressor	JBBJSN010000001.1	275163	276149
Carbohydrates	D-ribose utilization	Ribokinase (EC 2.7.1.15)	JBBJSN010000001.1	276146	277024
Carbohydrates	D-galactarate, D-glucarate and D-glycerate catabolism - gjo	Glycerate kinase (EC 2.7.1.31)	JBBJSN010000014.1	62286	63425
Carbohydrates	D-galactarate, D-glucarate and D-glycerate catabolism - gjo	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	JBBJSN010000001.1	539609	540502
Carbohydrates	D-galactarate, D-glucarate and D-glycerate catabolism - gjo	D-glycerate transporter (predicted)	JBBJSN010000014.1	60983	62254
Carbohydrates	D-galactarate, D-glucarate and D-glycerate catabolism - gjo	Sugar diacid utilization regulator SdaR	JBBJSN010000014.1	59753	60865
Carbohydrates	Mannose Metabolism	Endo-1,4-beta-mannosidase	JBBJSN010000003.1	102497	101355
Carbohydrates	Mannose Metabolism	Mannose-6-phosphate isomerase (EC 5.3.1.8)	JBBJSN010000001.1	244769	243819
Carbohydrates	D-galactarate, D-glucarate and D-glycerate catabolism	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	JBBJSN010000001.1	539609	540502
Carbohydrates	D-galactarate, D-glucarate and D-glycerate catabolism	D-glycerate transporter (predicted)	JBBJSN010000014.1	60983	62254
Carbohydrates	D-galactarate, D-glucarate and D-glycerate catabolism	Sugar diacid utilization regulator SdaR	JBBJSN010000014.1	59753	60865
Carbohydrates	D-galactarate, D-glucarate and D-glycerate catabolism	Glycerate kinase (EC 2.7.1.31)	JBBJSN010000014.1	62286	63425
Carbohydrates	D-gluconate and ketogluconates metabolism	Gluconate transporter family protein	JBBJSN010000026.1	31755	30427
Carbohydrates	D-gluconate and ketogluconates metabolism	Gluconate permease, Bsu4004 homolog	JBBJSN010000001.1	541983	543302
Carbohydrates	D-gluconate and ketogluconates metabolism	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	JBBJSN010000002.1	326452	327861
Carbohydrates	D-gluconate and ketogluconates metabolism	Gluconokinase (EC 2.7.1.12)	JBBJSN010000026.1	33297	31780
Carbohydrates	D-gluconate and ketogluconates metabolism	Glucose 1-dehydrogenase (EC 1.1.1.47)	JBBJSN010000002.1	328840	329625
Carbohydrates	Deoxyribose and Deoxynucleoside Catabolism	Purine nucleoside phosphorylase (EC 2.4.2.1)	JBBJSN010000015.1	24177	24872
Carbohydrates	Deoxyribose and Deoxynucleoside Catabolism	Na+ dependent nucleoside transporter NupC	JBBJSN010000026.1	13879	12698
Carbohydrates	Deoxyribose and Deoxynucleoside Catabolism	Deoxyribose-phosphate aldolase (EC 4.1.2.4)	JBBJSN010000026.1	14717	14046
