Isolate	Category	Subsystem	Role	Contig	Start	Stop
SA1	Carbohydrates	Chitin and N-acetylglucosamine utilization	Predicted transcriptional regulator of N-Acetylglucosamine utilization, GntR family	NZ_JBBJSQ010000002.1	575751	575026
SA1	Carbohydrates	Chitin and N-acetylglucosamine utilization	N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	NZ_JBBJSQ010000002.1	577733	576549
SA1	Carbohydrates	Chitin and N-acetylglucosamine utilization	Glucosamine-6-phosphate deaminase (EC 3.5.99.6)	NZ_JBBJSQ010000002.1	576546	575809
SA1	Carbohydrates	Glycogen metabolism	Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27)	NZ_JBBJSQ010000001.1	2466	3617
SA1	Carbohydrates	Glycogen metabolism	Glycogen synthase, ADP-glucose transglucosylase (EC 2.4.1.21)	NZ_JBBJSQ010000001.1	4662	6092
SA1	Carbohydrates	Glycogen metabolism	Glycogen biosynthesis protein GlgD, glucose-1-phosphate adenylyltransferase family	NZ_JBBJSQ010000001.1	3640	4665
SA1	Carbohydrates	Glycogen metabolism	1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)	NZ_JBBJSQ010000001.1	554	2515
SA1	Carbohydrates	Glycogen metabolism	Glycogen phosphorylase (EC 2.4.1.1)	NZ_JBBJSQ010000001.1	6106	8517
SA1	Carbohydrates	Carbon storage regulator	Carbon storage regulator	NZ_JBBJSQ010000006.1	181480	181250
SA1	Carbohydrates	Carbon storage regulator	Flagellar assembly factor FliW	NZ_JBBJSQ010000006.1	181927	181505
SA1	Carbohydrates	Fructose utilization	Transcriptional repressor of the fructose operon, DeoR family	NZ_JBBJSQ010000005.1	394014	393262
SA1	Carbohydrates	Fructose utilization	Transaldolase (EC 2.2.1.2)	NZ_JBBJSQ010000001.1	1173918	1174598
SA1	Carbohydrates	Fructose utilization	1-phosphofructokinase (EC 2.7.1.56)	NZ_JBBJSQ010000005.1	393265	392351
SA1	Carbohydrates	Fructose utilization	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	NZ_JBBJSQ010000003.1	435616	433895
SA1	Carbohydrates	Fructose utilization	Fructokinase (EC 2.7.1.4)	NZ_JBBJSQ010000002.1	558956	559933
SA1	Carbohydrates	Fructose utilization	Phosphotransferase system, phosphocarrier protein HPr	NZ_JBBJSQ010000003.1	435882	435616
SA1	Carbohydrates	2-Ketogluconate Utilization	2-ketogluconate kinase (EC 2.7.1.13)	NZ_JBBJSQ010000004.1	347345	348304
SA1	Carbohydrates	2-Ketogluconate Utilization	2-ketogluconate utilization repressor PtxS	NZ_JBBJSQ010000004.1	350363	351370
SA1	Carbohydrates	2-Ketogluconate Utilization	Epimerase KguE	NZ_JBBJSQ010000004.1	346605	347348
