Feature ID	Type	Contig	Start	Stop	Length (bp)	Function	Subsystems	Begin	End	Region
fig|1404.869.rna.1	RNA	NZ_JBBJSQ010000001.1	1	74	74	tRNA-Asn-GTT	- none -	1	74	
fig|1404.869.rna.2	RNA	NZ_JBBJSQ010000001.1	78	168	91	tRNA-Ser-GCT	- none -	78	168	
fig|1404.869.rna.3	RNA	NZ_JBBJSQ010000001.1	189	260	72	tRNA-Glu-TTC	- none -	189	260	
fig|1404.869.peg.1	CDS	NZ_JBBJSQ010000001.1	554	2515	1962	1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)	Glycogen metabolism	554	2515	
fig|1404.869.peg.2	CDS	NZ_JBBJSQ010000001.1	2466	3617	1152	Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27)	Glycogen metabolism	2466	3617	
fig|1404.869.peg.3	CDS	NZ_JBBJSQ010000001.1	3640	4665	1026	Glycogen biosynthesis protein GlgD, glucose-1-phosphate adenylyltransferase family	Glycogen metabolism	3640	4665	
fig|1404.869.peg.4	CDS	NZ_JBBJSQ010000001.1	4662	6092	1431	Glycogen synthase, ADP-glucose transglucosylase (EC 2.4.1.21)	Glycogen metabolism	4662	6092	
fig|1404.869.peg.5	CDS	NZ_JBBJSQ010000001.1	6106	8517	2412	Glycogen phosphorylase (EC 2.4.1.1)	Glycogen metabolism	6106	8517	
fig|1404.869.peg.6	CDS	NZ_JBBJSQ010000001.1	9356	8556	801	DUF124 domain-containing protein	- none -	8556	9356	
fig|1404.869.peg.7	CDS	NZ_JBBJSQ010000001.1	10200	9448	753	Uncharacterized protein YteA	- none -	9448	10200	
fig|1404.869.peg.8	CDS	NZ_JBBJSQ010000001.1	10553	11974	1422	Isochorismate synthase (EC 5.4.4.2) @ Menaquinone-specific isochorismate synthase (EC 5.4.4.2)	Chorismate: Intermediate for synthesis of Tryptophan, PAPA antibiotics, PABA, 3-hydroxyanthranilate and more., Menaquinone and Phylloquinone Biosynthesis, Menaquinone and Phylloquinone Biosynthesis -- gjo	10553	11974	
