Feature ID	Type	Contig	Start	Stop	Length (bp)	Function	Subsystems	Begin	End	Region
fig|1404.870.rna.1	RNA	NZ_JBBJSO010000001.1	1	72	72	tRNA-Asp-GTC	- none -	1	72	
fig|1404.870.rna.2	RNA	NZ_JBBJSO010000001.1	81	156	76	tRNA-Phe-GAA	- none -	81	156	
fig|1404.870.rna.3	RNA	NZ_JBBJSO010000001.1	167	242	76	tRNA-His-GTG	- none -	167	242	
fig|1404.870.rna.4	RNA	NZ_JBBJSO010000001.1	254	327	74	tRNA-Gly-TCC	- none -	254	327	
fig|1404.870.rna.5	RNA	NZ_JBBJSO010000001.1	333	409	77	tRNA-Ile-GAT	- none -	333	409	
fig|1404.870.rna.6	RNA	NZ_JBBJSO010000001.1	413	487	75	tRNA-Asn-GTT	- none -	413	487	
fig|1404.870.rna.7	RNA	NZ_JBBJSO010000001.1	492	563	72	tRNA-Glu-TTC	- none -	492	563	
fig|1404.870.peg.1	CDS	NZ_JBBJSO010000001.1	773	2032	1260	Uncharacterized metalloprotease YhfN	- none -	773	2032	
fig|1404.870.peg.2	CDS	NZ_JBBJSO010000001.1	2425	3708	1284	Isocitrate lyase (EC 4.1.3.1)	Glyoxylate bypass, Glyoxylate bypass cluster, Serine-glyoxylate cycle	2425	3708	
fig|1404.870.peg.3	CDS	NZ_JBBJSO010000001.1	4141	3905	237	Uncharacterized protein YhzC	- none -	3905	4141	
fig|1404.870.peg.4	CDS	NZ_JBBJSO010000001.1	4318	6297	1980	Acylamino-acid-releasing enzyme (EC 3.4.19.1)	Omega peptidases (EC 3.4.19.-)	4318	6297	
fig|1404.870.peg.5	CDS	NZ_JBBJSO010000001.1	6460	7077	618	Uncharacterized membrane protein YhjE	- none -	6460	7077	
fig|1404.870.peg.6	CDS	NZ_JBBJSO010000001.1	7658	8398	741	Oxidoreductase, short-chain dehydrogenase/reductase family	- none -	7658	8398	
fig|1404.870.peg.7	CDS	NZ_JBBJSO010000001.1	8661	12161	3501	ATP-dependent helicase/nuclease AddAB, subunit B	- none -	8661	12161	
