Feature ID	Type	Contig	Start	Stop	Length (bp)	Function	Subsystems	Begin	End	Region
fig|3132359.4.peg.1	CDS	NZ_JBBJSS010000001.1	2042	93	1950	Uncharacterized membrane protein YvaC	- none -	93	2042	
fig|3132359.4.peg.2	CDS	NZ_JBBJSS010000001.1	2461	2198	264	Uncharacterized protein YrkD	- none -	2198	2461	
fig|3132359.4.peg.3	CDS	NZ_JBBJSS010000001.1	2837	3277	441	Sporulation-specific extracellular nuclease NucB	- none -	2837	3277	
fig|3132359.4.peg.4	CDS	NZ_JBBJSS010000001.1	3313	3720	408	hypothetical protein	- none -	3313	3720	
fig|3132359.4.peg.5	CDS	NZ_JBBJSS010000001.1	4412	3822	591	hypothetical protein	- none -	3822	4412	
fig|3132359.4.peg.6	CDS	NZ_JBBJSS010000001.1	7115	4797	2319	ATP-dependent DNA helicase IV (EC 3.6.4.12)	- none -	4797	7115	
fig|3132359.4.peg.7	CDS	NZ_JBBJSS010000001.1	7484	7359	126	hypothetical protein	- none -	7359	7484	
fig|3132359.4.peg.8	CDS	NZ_JBBJSS010000001.1	8139	7624	516	hypothetical protein	- none -	7624	8139	
fig|3132359.4.peg.9	CDS	NZ_JBBJSS010000001.1	8382	8750	369	Transcriptional regulator, HxlR family	- none -	8382	8750	
fig|3132359.4.peg.10	CDS	NZ_JBBJSS010000001.1	9988	8774	1215	Putative cytochrome P450 YjiB	- none -	8774	9988	
fig|3132359.4.peg.11	CDS	NZ_JBBJSS010000001.1	10554	10159	396	hypothetical protein	- none -	10159	10554	
fig|3132359.4.peg.12	CDS	NZ_JBBJSS010000001.1	12178	10709	1470	glycosyl transferase, group 2 family protein( EC:2.4.- )	- none -	10709	12178	
fig|3132359.4.peg.13	CDS	NZ_JBBJSS010000001.1	13398	12175	1224	UDP-glucose 6-dehydrogenase (EC 1.1.1.22)	- none -	12175	13398	
fig|3132359.4.peg.14	CDS	NZ_JBBJSS010000001.1	14917	13391	1527	Glycosyl transferase, group 2 family	- none -	13391	14917	
fig|3132359.4.peg.15	CDS	NZ_JBBJSS010000001.1	15120	14920	201	hypothetical protein	- none -	14920	15120	
fig|3132359.4.peg.16	CDS	NZ_JBBJSS010000001.1	15486	15139	348	hypothetical protein	- none -	15139	15486	
fig|3132359.4.peg.17	CDS	NZ_JBBJSS010000001.1	16413	15739	675	NLP/P60	- none -	15739	16413	
fig|3132359.4.peg.18	CDS	NZ_JBBJSS010000001.1	16599	17888	1290	Methyl-accepting chemotaxis protein	- none -	16599	17888	
fig|3132359.4.peg.19	CDS	NZ_JBBJSS010000001.1	18459	17929	531	Protease production regulatory protein Hpr (ScoC)	EcsAB transporter affecting expression and secretion of secretory preproteins	17929	18459	
fig|3132359.4.peg.20	CDS	NZ_JBBJSS010000001.1	19519	18656	864	Anti-sigma-V factor RsiV	- none -	18656	19519	
fig|3132359.4.peg.21	CDS	NZ_JBBJSS010000001.1	20016	19516	501	RNA polymerase sigma factor SigV	Transcription initiation, bacterial sigma factors	19516	20016	
fig|3132359.4.peg.22	CDS	NZ_JBBJSS010000001.1	20074	21585	1512	Peptidoglycan-N-acetylmuramic acid deacetylase PdaC	- none -	20074	21585	
fig|3132359.4.peg.23	CDS	NZ_JBBJSS010000001.1	21856	21614	243	hypothetical protein	- none -	21614	21856	
fig|3132359.4.peg.24	CDS	NZ_JBBJSS010000001.1	22811	21834	978	Nutrient germinant receptor inner membrane subunit A (GerKA/GerAA/GerBA)	- none -	21834	22811	
fig|3132359.4.peg.25	CDS	NZ_JBBJSS010000001.1	22969	23202	234	hypothetical protein	- none -	22969	23202	
fig|3132359.4.peg.26	CDS	NZ_JBBJSS010000001.1	23367	24542	1176	putative ribosomal protein L5-like protein	- none -	23367	24542	
fig|3132359.4.peg.27	CDS	NZ_JBBJSS010000001.1	26026	24593	1434	Arginine permease RocE	Arginine and Ornithine Degradation	24593	26026	
fig|3132359.4.peg.28	CDS	NZ_JBBJSS010000001.1	27155	26256	900	Arginase (EC 3.5.3.1)	Arginine and Ornithine Degradation	26256	27155	
fig|3132359.4.peg.29	CDS	NZ_JBBJSS010000001.1	27498	27361	138	hypothetical protein	- none -	27361	27498	
fig|3132359.4.peg.30	CDS	NZ_JBBJSS010000001.1	29627	27549	2079	Gamma-glutamyltranspeptidase (EC 2.3.2.2) @ Glutathione hydrolase (EC 3.4.19.13)	Poly-gamma-glutamate biosynthesis	27549	29627	
fig|3132359.4.peg.31	CDS	NZ_JBBJSS010000001.1	30534	30037	498	hypothetical protein	- none -	30037	30534	
fig|3132359.4.peg.32	CDS	NZ_JBBJSS010000001.1	32711	31392	1320	KtrAB potassium uptake system, integral membrane component KtrB	- none -	31392	32711	
fig|3132359.4.peg.33	CDS	NZ_JBBJSS010000001.1	33374	32715	660	KtrAB potassium uptake system, peripheral membrane component KtrA	- none -	32715	33374	
fig|3132359.4.peg.34	CDS	NZ_JBBJSS010000001.1	34217	33759	459	hypothetical protein	- none -	33759	34217	
fig|3132359.4.peg.35	CDS	NZ_JBBJSS010000001.1	34338	34793	456	Transcriptional regulator LrpC, AsnC family	- none -	34338	34793	
fig|3132359.4.peg.36	CDS	NZ_JBBJSS010000001.1	35984	35082	903	Foldase protein PrsA precursor (EC 5.2.1.8)	EcsAB transporter affecting expression and secretion of secretory preproteins, Peptidyl-prolyl cis-trans isomerase	35082	35984	
fig|3132359.4.peg.37	CDS	NZ_JBBJSS010000001.1	37255	35981	1275	Serine protease, DegP/HtrA, do-like (EC 3.4.21.-)	- none -	35981	37255	
fig|3132359.4.peg.38	CDS	NZ_JBBJSS010000001.1	37478	38149	672	Transcriptional response regulator CssR	- none -	37478	38149	
fig|3132359.4.peg.39	CDS	NZ_JBBJSS010000001.1	38146	39495	1350	Sensor histidine kinase CssS	- none -	38146	39495	
fig|3132359.4.peg.40	CDS	NZ_JBBJSS010000001.1	40523	39531	993	D-cysteine desulfhydrase (EC 4.4.1.15)	Adaptation to d-cysteine	39531	40523	
fig|3132359.4.peg.41	CDS	NZ_JBBJSS010000001.1	40674	41192	519	cytosolic long-chain acyl-CoA thioester hydrolase family protein	Serine-glyoxylate cycle	40674	41192	
