Feature ID	Type	Contig	Start	Stop	Length (bp)	Function	Subsystems	Begin	End	Region
fig|246786.26.peg.1	CDS	NZ_JBBJSM010000001.1	301	1074	774	Chemotaxis protein methyltransferase CheR (EC 2.1.1.80)	- none -	301	1074	
fig|246786.26.peg.2	CDS	NZ_JBBJSM010000001.1	1151	2323	1173	Chorismate synthase (EC 4.2.3.5)	Common Pathway For Synthesis of Aromatic Compounds (DAHP synthase to chorismate)	1151	2323	
fig|246786.26.peg.3	CDS	NZ_JBBJSM010000001.1	2323	3408	1086	3-dehydroquinate synthase (EC 4.2.3.4)	Common Pathway For Synthesis of Aromatic Compounds (DAHP synthase to chorismate), Type IV pilus	2323	3408	
fig|246786.26.peg.4	CDS	NZ_JBBJSM010000001.1	3405	3770	366	Chorismate mutase II (EC 5.4.99.5)	Phenylalanine and Tyrosine Branches from Chorismate	3405	3770	
fig|246786.26.peg.5	CDS	NZ_JBBJSM010000001.1	4107	5651	1545	Anthranilate synthase, aminase component (EC 4.1.3.27)	Chorismate: Intermediate for synthesis of Tryptophan, PAPA antibiotics, PABA, 3-hydroxyanthranilate and more., Tryptophan synthesis	4107	5651	
fig|246786.26.peg.6	CDS	NZ_JBBJSM010000001.1	5623	6639	1017	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	Auxin biosynthesis, Chorismate: Intermediate for synthesis of Tryptophan, PAPA antibiotics, PABA, 3-hydroxyanthranilate and more., Tryptophan synthesis	5623	6639	
fig|246786.26.peg.7	CDS	NZ_JBBJSM010000001.1	6632	7390	759	Indole-3-glycerol phosphate synthase (EC 4.1.1.48)	Chorismate: Intermediate for synthesis of Tryptophan, PAPA antibiotics, PABA, 3-hydroxyanthranilate and more., Tryptophan synthesis	6632	7390	
fig|246786.26.peg.8	CDS	NZ_JBBJSM010000001.1	7387	8043	657	Phosphoribosylanthranilate isomerase (EC 5.3.1.24)	Auxin biosynthesis, Chorismate: Intermediate for synthesis of Tryptophan, PAPA antibiotics, PABA, 3-hydroxyanthranilate and more., Tryptophan synthesis	7387	8043	
fig|246786.26.peg.9	CDS	NZ_JBBJSM010000001.1	8024	9253	1230	Tryptophan synthase beta chain (EC 4.2.1.20)	Auxin biosynthesis, Chorismate: Intermediate for synthesis of Tryptophan, PAPA antibiotics, PABA, 3-hydroxyanthranilate and more., Tryptophan synthesis	8024	9253	
fig|246786.26.peg.10	CDS	NZ_JBBJSM010000001.1	9216	10037	822	Tryptophan synthase alpha chain (EC 4.2.1.20)	Auxin biosynthesis, Chorismate: Intermediate for synthesis of Tryptophan, PAPA antibiotics, PABA, 3-hydroxyanthranilate and more., Tryptophan synthesis	9216	10037	
fig|246786.26.peg.11	CDS	NZ_JBBJSM010000001.1	10089	11171	1083	Biosynthetic Aromatic amino acid aminotransferase beta (EC 2.6.1.57) @ Histidinol-phosphate aminotransferase (EC 2.6.1.9)	Histidine Biosynthesis, Phenylalanine and Tyrosine Branches from Chorismate	10089	11171	
fig|246786.26.peg.12	CDS	NZ_JBBJSM010000001.1	11230	12342	1113	Prephenate dehydrogenase (EC 1.3.1.12)	Phenylalanine and Tyrosine Branches from Chorismate	11230	12342	
fig|246786.26.peg.13	CDS	NZ_JBBJSM010000001.1	12354	13664	1311	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19)	- none -	12354	13664	
fig|246786.26.peg.14	CDS	NZ_JBBJSM010000001.1	13773	14669	897	hypothetical protein	- none -	13773	14669	
fig|246786.26.peg.15	CDS	NZ_JBBJSM010000001.1	14693	15958	1266	FIG009300: TPR-repeat-containing protein	- none -	14693	15958	
fig|246786.26.peg.16	CDS	NZ_JBBJSM010000001.1	16040	16579	540	UPF0302 protein YpiB	- none -	16040	16579	
fig|246786.26.peg.17	CDS	NZ_JBBJSM010000001.1	16794	20489	3696	hypothetical protein	- none -	16794	20489	
fig|246786.26.peg.18	CDS	NZ_JBBJSM010000001.1	20851	21024	174	hypothetical protein	- none -	20851	21024	
fig|246786.26.peg.19	CDS	NZ_JBBJSM010000001.1	21059	21514	456	hypothetical protein	- none -	21059	21514	
fig|246786.26.peg.20	CDS	NZ_JBBJSM010000001.1	21658	22167	510	Menaquinone-cytochrome C reductase iron-sulfur subunit	Ubiquinone Menaquinone-cytochrome c reductase complexes	21658	22167	
fig|246786.26.peg.21	CDS	NZ_JBBJSM010000001.1	22171	22845	675	Menaquinone-cytochrome c reductase, cytochrome B subunit	Ubiquinone Menaquinone-cytochrome c reductase complexes	22171	22845	
fig|246786.26.peg.22	CDS	NZ_JBBJSM010000001.1	22905	23672	768	Menaquinone-cytochrome C oxidoreductase, cytochrome C subunit	Ubiquinone Menaquinone-cytochrome c reductase complexes	22905	23672	
fig|246786.26.peg.23	CDS	NZ_JBBJSM010000001.1	23744	24340	597	Uncharacterized protein YpjA	- none -	23744	24340	
fig|246786.26.peg.24	CDS	NZ_JBBJSM010000001.1	24421	25233	813	hypothetical protein	- none -	24421	25233	
fig|246786.26.peg.25	CDS	NZ_JBBJSM010000001.1	25256	25396	141	hypothetical protein	- none -	25256	25396	
fig|246786.26.peg.26	CDS	NZ_JBBJSM010000001.1	26402	25428	975	Uncharacterized UPF0750 membrane protein YpjC	- none -	25428	26402	
fig|246786.26.peg.27	CDS	NZ_JBBJSM010000001.1	26449	26778	330	MazG nucleotide pyrophosphohydrolase	- none -	26449	26778	
fig|246786.26.peg.28	CDS	NZ_JBBJSM010000001.1	26791	27588	798	4-hydroxy-tetrahydrodipicolinate reductase (EC 1.17.1.8)	Lysine Biosynthesis DAP Pathway, Lysine Biosynthesis DAP Pathway, GJO scratch	26791	27588	
fig|246786.26.peg.29	CDS	NZ_JBBJSM010000001.1	27602	28030	429	Methylglyoxal synthase (EC 4.2.3.3)	Methylglyoxal Metabolism	27602	28030	
fig|246786.26.peg.30	CDS	NZ_JBBJSM010000001.1	28017	28733	717	N-acetylglucosaminyl-L-malate N-acetyl hydrolase	- none -	28017	28733	
fig|246786.26.peg.31	CDS	NZ_JBBJSM010000001.1	28730	29875	1146	UDP-N-acetylglucosamine:L-malate glycosyltransferase	- none -	28730	29875	
fig|246786.26.peg.32	CDS	NZ_JBBJSM010000001.1	29859	31067	1209	CCA tRNA nucleotidyltransferase (EC 2.7.7.72)	- none -	29859	31067	
